Tempo;Gesto
15:52:49.831;ABERTA
15:52:49.864;ABERTA
15:52:50.489;ABERTA
15:52:50.522;ABERTA
15:52:51.071;FECHADA
15:52:51.104;FECHADA
15:52:51.136;FECHADA
15:52:51.168;FECHADA
15:52:51.331;FECHADA
15:52:51.363;FECHADA
15:52:51.395;FECHADA
15:52:51.427;FECHADA
15:52:51.460;FECHADA
15:52:51.557;ABERTA
15:52:51.590;ABERTA
15:52:51.623;ABERTA
15:52:51.721;FECHADA
15:52:51.754;FECHADA
15:52:51.785;FECHADA
15:52:51.818;FECHADA
15:52:51.915;ABERTA
15:52:51.949;ABERTA
15:52:51.980;ABERTA
15:52:52.011;ABERTA
15:52:52.043;ABERTA
15:52:52.074;FECHADA
15:52:52.107;FECHADA
15:52:52.139;ABERTA
15:52:52.170;ABERTA
15:52:52.205;ABERTA
15:52:52.238;ABERTA
15:52:52.269;FECHADA
15:52:52.302;FECHADA
15:52:52.334;FECHADA
15:52:52.368;FECHADA
15:52:52.401;ABERTA
15:52:52.435;ABERTA
15:52:52.467;ABERTA
15:52:52.501;ABERTA
15:52:52.535;ABERTA
15:52:52.568;ABERTA
15:52:52.603;ABERTA
15:52:52.670;ABERTA
15:52:52.702;ABERTA
15:52:55.966;FECHADA
15:52:55.997;FECHADA
15:52:56.030;FECHADA
15:52:57.010;FECHADA
15:52:57.043;FECHADA
15:52:57.303;FECHADA
15:52:57.334;FECHADA
15:52:57.496;FECHADA
15:52:57.531;FECHADA
15:52:57.859;FECHADA
15:52:58.148;FECHADA
15:52:58.182;FECHADA
15:52:58.311;FECHADA
15:52:58.346;FECHADA
15:52:58.968;ABERTA
15:52:59.002;ABERTA
15:52:59.097;ABERTA
15:52:59.130;ABERTA
15:52:59.162;ABERTA
15:52:59.194;ABERTA
15:52:59.258;ABERTA
15:52:59.289;ABERTA
15:52:59.385;FECHADA
15:52:59.418;FECHADA
15:52:59.580;ABERTA
15:52:59.612;ABERTA
15:53:00.590;FECHADA
15:53:00.622;FECHADA
15:53:00.880;ABERTA
15:53:00.913;ABERTA
15:53:00.945;ABERTA
15:53:00.977;ABERTA
15:53:01.010;ABERTA
15:53:01.042;ABERTA
15:53:01.075;ABERTA
15:53:01.107;ABERTA
15:53:01.139;ABERTA
15:53:01.171;ABERTA
15:53:01.206;ABERTA
15:53:01.239;ABERTA
15:53:01.273;ABERTA
15:53:01.305;FECHADA
15:53:01.338;FECHADA
15:53:01.370;ABERTA
15:53:01.535;ABERTA
15:53:01.568;ABERTA
15:53:01.600;ABERTA
15:53:01.634;ABERTA
15:53:01.666;FECHADA
15:53:01.699;ABERTA
15:53:01.731;ABERTA
15:53:01.996;FECHADA
15:53:02.028;FECHADA
15:53:02.061;ABERTA
15:53:02.093;ABERTA
15:53:02.257;ABERTA
15:53:02.289;ABERTA
15:53:02.322;ABERTA
15:53:02.353;ABERTA
15:53:02.385;ABERTA
15:53:02.674;ABERTA
15:53:02.706;ABERTA
15:53:02.740;ABERTA
15:53:02.773;ABERTA
15:53:02.806;ABERTA
15:53:02.839;ABERTA
15:53:02.872;ABERTA
15:53:02.905;ABERTA
15:53:02.938;ABERTA
15:53:02.970;ABERTA
15:53:03.002;ABERTA
15:53:03.034;ABERTA
15:53:03.066;ABERTA
15:53:03.098;ABERTA
15:53:03.129;ABERTA
15:53:03.160;ABERTA
15:53:03.192;FECHADA
15:53:03.224;FECHADA
15:53:03.386;ABERTA
15:53:03.545;ABERTA
15:53:03.577;ABERTA
15:53:03.609;ABERTA
15:53:03.642;ABERTA
15:53:04.577;FECHADA
15:53:04.609;ABERTA
15:53:04.642;ABERTA
