Tempo;X_Bruto;X_Suavizado
16:09:37.923;178,00;180,20
16:09:37.974;174,00;179,27
16:09:38.024;170,00;177,88
16:09:38.074;167,00;176,25
16:09:38.124;161,00;173,96
16:09:38.175;161,00;172,02
16:09:38.225;155,00;169,46
16:09:38.275;151,00;166,69
16:09:38.325;150,00;164,19
16:09:38.375;151,00;162,21
16:09:38.426;152,00;160,68
16:09:38.476;155,00;159,83
16:09:38.526;155,00;159,10
16:09:38.576;158,00;158,94
16:09:38.626;161,00;159,25
16:09:38.677;164,00;159,96
16:09:38.727;166,00;160,87
16:09:38.777;166,00;161,64
16:09:38.827;170,00;162,89
16:09:38.877;170,00;163,96
16:09:38.928;170,00;164,86
16:09:38.978;175,00;166,38
16:09:39.028;170,00;166,93
16:09:39.078;164,00;166,49
16:09:39.129;164,00;166,11
16:09:39.179;161,00;165,35
16:09:39.229;157,00;164,10
16:09:39.279;155,00;162,73
16:09:39.329;155,00;161,57
16:09:39.379;157,00;160,89
16:09:39.430;157,00;160,30
16:09:39.480;158,00;159,96
16:09:39.530;159,00;159,81
16:09:39.580;160,00;159,84
16:09:39.631;160,00;159,87
16:09:39.681;161,00;160,04
16:09:39.731;161,00;160,18
16:09:39.781;162,00;160,45
16:09:39.832;162,00;160,69
16:09:39.882;161,00;160,73
16:09:39.932;161,00;160,77
16:09:39.982;160,00;160,66
16:09:40.033;497,00;211,11
16:09:40.083;497,00;253,99
16:09:40.133;496,00;290,29
16:09:40.183;504,00;322,35
16:09:40.234;524,00;352,60
16:09:40.284;532,00;379,51
16:09:40.334;506,00;398,48
16:09:40.384;506,00;414,61
16:09:40.434;507,00;428,47
16:09:40.485;526,00;443,10
16:09:40.535;526,00;455,53
16:09:40.585;501,00;462,35
16:09:40.635;514,00;470,10
16:09:40.685;517,00;477,14
16:09:40.736;517,00;483,11
16:09:40.786;508,00;486,85
16:09:40.836;519,00;491,67
16:09:40.886;524,00;496,52
16:09:40.937;517,00;499,59
16:09:40.987;514,00;501,75
16:09:41.037;515,00;503,74
16:09:41.087;515,00;505,43
16:09:41.137;513,00;506,56
16:09:41.188;513,00;507,53
16:09:41.238;509,00;507,75
16:09:41.288;510,00;508,09
16:09:41.339;510,00;508,37
16:09:41.389;511,00;508,77
16:09:41.439;511,00;509,10
16:09:41.489;505,00;508,49
16:09:41.539;512,00;509,01
16:09:41.590;516,00;510,06
16:09:41.640;516,00;510,95
16:09:41.690;503,00;509,76
16:09:41.740;503,00;508,75
16:09:41.790;516,00;509,83
16:09:41.841;519,00;511,21
16:09:41.891;508,00;510,73
16:09:41.941;498,00;508,82
16:09:41.991;510,00;509,00
16:09:42.042;510,00;509,15
16:09:42.092;521,00;510,92
16:09:42.142;518,00;511,99
16:09:42.192;496,00;509,59
16:09:42.242;504,00;508,75
16:09:42.293;515,00;509,69
16:09:42.343;516,00;510,63
16:09:42.393;516,00;511,44
16:09:42.443;499,00;509,57
16:09:42.493;508,00;509,34
16:09:42.544;523,00;511,39
16:09:42.594;516,00;512,08
16:09:42.644;496,00;509,67
16:09:42.694;510,00;509,72
16:09:42.745;510,00;509,76
16:09:42.795;519,00;511,15
16:09:42.845;514,00;511,57
16:09:42.895;501,00;509,99
16:09:42.946;501,00;508,64
16:09:42.996;529,00;511,69
16:09:43.046;529,00;514,29
16:09:43.096;519,00;515,00
16:09:43.147;506,00;513,65
16:09:43.197;519,00;514,45
16:09:43.247;526,00;516,18
16:09:43.297;526,00;517,65
16:09:43.348;516,00;517,41
16:09:43.398;507,00;515,85
16:09:43.448;517,00;516,02
16:09:43.498;516,00;516,02
16:09:43.549;502,00;513,91
16:09:43.599;516,00;514,23
16:09:43.649;524,00;515,69
16:09:43.699;524,00;516,94
16:09:43.749;507,00;515,45
16:09:43.800;511,00;514,78
16:09:43.850;533,00;517,51
16:09:43.900;534,00;519,99
16:09:43.950;534,00;522,09
16:09:44.000;514,00;520,88
16:09:44.051;525,00;521,49
16:09:44.101;533,00;523,22
16:09:44.151;531,00;524,39
16:09:44.201;521,00;523,88
16:09:44.252;521,00;523,45
16:09:44.302;495,00;519,18
16:09:44.352;495,00;515,55
16:09:44.402;508,00;514,42
16:09:44.452;532,00;517,06
16:09:44.503;543,00;520,95
16:09:44.553;529,00;522,16
16:09:44.603;529,00;523,18
16:09:44.653;502,00;520,01
16:09:44.703;507,00;518,05
16:09:44.754;524,00;518,95
16:09:44.804;524,00;519,70
16:09:44.854;533,00;521,70
16:09:44.904;514,00;520,54
16:09:44.954;514,00;519,56
16:09:45.005;525,00;520,38
16:09:45.055;527,00;521,37
16:09:45.105;510,00;519,67
16:09:45.155;512,00;518,52
16:09:45.206;512,00;517,54
16:09:45.256;504,00;515,51
16:09:45.306;504,00;513,78
16:09:45.357;501,00;511,86
16:09:45.407;501,00;510,23
16:09:45.457;501,00;508,85
16:09:45.507;501,00;507,67
16:09:45.557;501,00;506,67
16:09:45.608;218,00;463,37
16:09:45.658;223,00;427,32
16:09:45.708;230,00;397,72
16:09:45.758;235,00;373,31
16:09:45.809;240,00;353,31
16:09:45.860;246,00;337,22
16:09:45.911;249,00;323,98
16:09:45.961;249,00;312,74
16:09:46.011;241,00;301,98
16:09:46.061;238,00;292,38
16:09:46.111;242,00;284,82
16:09:46.162;245,00;278,85
16:09:46.212;248,00;274,22
16:09:46.262;248,00;270,29
16:09:46.312;249,00;267,10
16:09:46.363;250,00;264,53
16:09:46.413;251,00;262,50
16:09:46.463;251,00;260,78
16:09:46.514;252,00;259,46
16:09:46.564;252,00;258,34
16:09:46.614;252,00;257,39
16:09:46.664;252,00;256,58
16:09:46.715;252,00;255,89
16:09:46.765;254,00;255,61
16:09:46.815;257,00;255,82
16:09:46.865;257,00;256,00
16:09:46.916;458,00;286,30
16:09:46.966;458,00;312,05
16:09:47.016;451,00;332,89
16:09:47.067;451,00;350,61
16:09:47.117;451,00;365,67
16:09:47.167;463,00;380,27
16:09:47.217;457,00;391,78
16:09:47.268;457,00;401,56
16:09:47.318;456,00;409,73
16:09:47.368;458,00;416,97
16:09:47.418;459,00;423,27
16:09:47.469;460,00;428,78
16:09:47.519;461,00;433,61
16:09:47.569;461,00;437,72
16:09:47.619;461,00;441,21
16:09:47.670;462,00;444,33
16:09:47.720;461,00;446,83
16:09:47.770;461,00;448,96
16:09:47.821;461,00;450,76
16:09:47.871;460,00;452,15
16:09:47.921;460,00;453,33
16:09:47.971;460,00;454,33
16:09:48.021;461,00;455,33
16:09:48.072;462,00;456,33
16:09:48.122;462,00;457,18
16:09:48.172;463,00;458,05
16:09:48.222;462,00;458,64
16:09:48.273;461,00;459,00
16:09:48.323;460,00;459,15
16:09:48.373;460,00;459,28
16:09:48.423;460,00;459,38
16:09:48.473;458,00;459,18
16:09:48.524;457,00;458,85
16:09:48.574;457,00;458,57
16:09:48.624;456,00;458,19
16:09:48.674;456,00;457,86
16:09:48.724;455,00;457,43
16:09:48.775;456,00;457,22
16:09:48.825;458,00;457,33
16:09:48.875;458,00;457,43
16:09:48.925;218,00;421,52
16:09:48.975;216,00;390,69
16:09:49.026;218,00;364,79
16:09:49.076;220,00;343,07
16:09:49.126;220,00;324,61
16:09:49.176;220,00;308,92
16:09:49.226;222,00;295,88
16:09:49.277;222,00;284,80
16:09:49.327;221,00;275,23
16:09:49.377;221,00;267,09
16:09:49.427;221,00;260,18
16:09:49.477;221,00;254,30
16:09:49.527;220,00;249,16
16:09:49.578;220,00;244,78
16:09:49.628;221,00;241,22
16:09:49.678;221,00;238,18
16:09:49.728;221,00;235,61
16:09:49.778;221,00;233,42
16:09:49.828;221,00;231,55
16:09:49.879;221,00;229,97
16:09:49.929;221,00;228,62
16:09:49.979;221,00;227,48
16:09:50.029;221,00;226,51
16:09:50.079;221,00;225,68
16:09:50.130;221,00;224,98
16:09:50.180;221,00;224,38
