Tempo;Gesto
16:02:40.497;ABERTA
16:02:40.528;ABERTA
16:02:40.561;ABERTA
16:02:40.593;ABERTA
16:02:40.624;ABERTA
16:02:40.659;ABERTA
16:02:40.693;ABERTA
16:02:40.724;ABERTA
16:02:40.755;ABERTA
16:02:40.791;ABERTA
16:02:40.822;ABERTA
16:02:40.856;ABERTA
16:02:40.888;ABERTA
16:02:40.920;ABERTA
16:02:40.951;ABERTA
16:02:40.983;ABERTA
16:02:41.014;ABERTA
16:02:41.046;ABERTA
16:02:41.077;ABERTA
16:02:41.108;ABERTA
16:02:41.139;ABERTA
16:02:41.171;ABERTA
16:02:41.203;FECHADA
16:02:41.234;FECHADA
16:02:41.265;FECHADA
16:02:41.297;FECHADA
16:02:41.328;FECHADA
16:02:41.360;FECHADA
16:02:41.392;ABERTA
16:02:41.423;ABERTA
16:02:41.454;ABERTA
16:02:41.485;ABERTA
16:02:41.517;ABERTA
16:02:41.549;ABERTA
16:02:41.581;ABERTA
16:02:41.612;ABERTA
16:02:41.644;ABERTA
16:02:41.675;ABERTA
16:02:41.707;ABERTA
16:02:41.738;FECHADA
16:02:41.770;FECHADA
16:02:41.802;FECHADA
16:02:41.833;FECHADA
16:02:41.864;FECHADA
16:02:41.896;FECHADA
16:02:41.927;FECHADA
16:02:41.959;FECHADA
16:02:41.991;FECHADA
16:02:42.023;FECHADA
16:02:42.054;FECHADA
16:02:42.086;ABERTA
16:02:42.117;ABERTA
16:02:42.149;ABERTA
16:02:42.180;ABERTA
16:02:42.212;ABERTA
16:02:42.243;ABERTA
16:02:42.275;ABERTA
16:02:42.307;ABERTA
16:02:42.338;ABERTA
16:02:42.369;ABERTA
16:02:42.401;ABERTA
16:02:42.432;ABERTA
16:02:42.464;ABERTA
16:02:42.495;ABERTA
16:02:42.526;ABERTA
16:02:42.557;ABERTA
16:02:42.589;ABERTA
16:02:42.620;ABERTA
16:02:42.652;ABERTA
16:02:42.683;ABERTA
16:02:42.715;ABERTA
16:02:42.747;ABERTA
16:02:42.778;ABERTA
16:02:42.810;ABERTA
16:02:42.841;ABERTA
